"source_taxon_name","interaction_type","target_taxon_name","latitude","longitude","Area"
"Anthaxia","pollinates","Deutzia scabra",35.033333,135.783333,"Temperate Asia"
"Anthaxia","pollinates","Rosa",35.033333,135.783333,"Temperate Asia"
"Anthaxia","parasiteOf","Salix",41.20821,-122.27195,"Temperate North-America"
"Anthaxia","parasiteOf","Carya",47.50012,-120.50147,"Temperate North-America"
"Anthaxia","parasiteOf","Carya",44.00013,-120.50139,"Temperate North-America"
"Anthaxia","parasiteOf","Carya",53.99983,-125.0032,"Temperate North-America"
"Anthaxia","parasiteOf","Salix",53.99983,-125.0032,"Temperate North-America"
"Anthaxia","parasiteOf","Salix",44.56457,-123.26204,"Temperate North-America"
"Anthaxia","parasiteOf","Carya",44.56457,-123.26204,"Temperate North-America"
"Anthaxia","parasiteOf","Salix",42.19458,-122.70948,"Temperate North-America"
"Anthaxia","parasiteOf","Carya",42.19458,-122.70948,"Temperate North-America"
"Anthaxia","parasiteOf","Vitis",41.16265,-122.29195,"Temperate North-America"
"Anthaxia","parasiteOf","Ulmus americana",41.16265,-122.29195,"Temperate North-America"
"Anthaxia","parasiteOf","Salix",41.16265,-122.29195,"Temperate North-America"
"Anthaxia","parasiteOf","Carya ovata",41.16265,-122.29195,"Temperate North-America"
"Anthaxia","parasiteOf","Carya",45.49067,-123.12344,"Temperate North-America"
"Anthaxia","parasiteOf","Salix",41.25571,-122.13945,"Temperate North-America"
"Anthaxia","parasiteOf","Vitis",41.25571,-122.13945,"Temperate North-America"
"Anthaxia","parasiteOf","Ulmus americana",41.25571,-122.13945,"Temperate North-America"
"Anthaxia","parasiteOf","Carya ovata",41.25571,-122.13945,"Temperate North-America"
"Anthaxia","parasiteOf","Salix",45.52345,-122.67621,"Temperate North-America"
"Anthaxia","parasiteOf","Carya",42.00208,-122.64031,"Temperate North-America"
"Anthaxia","parasiteOf","Carya",47.60621,-122.33207,"Temperate North-America"
"Anthaxia","parasiteOf","Salix",41.59265,-122.54037,"Temperate North-America"
"Anthaxia","parasiteOf","Carya",47.03787,-122.9007,"Temperate North-America"
"Anthaxia","visitsFlowersOf","Mutisia decurrens",-40,-67,"Temperate South-America"
"Anthaxia","visitsFlowersOf","Alstroemeria aurea",-40,-67,"Temperate South-America"
"Anthaxia","visitsFlowersOf","Mutisia decurrens",-41,-71.5,"Temperate South-America"
"Anthaxia","visitsFlowersOf","Alstroemeria aurea",-41,-71.5,"Temperate South-America"
"Anthaxia","pollinates","Mutisia decurrens",-41.077069,-71.525206,"Temperate South-America"
"Anthaxia","pollinates","Alstroemeria aurea",-41.077069,-71.525206,"Temperate South-America"
