"source_taxon_name","interaction_type","target_taxon_name","latitude","longitude","Area"
"Beauveria bassiana","pathogenOf","Moechotypa diphysis",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Trachys",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Tenodera aridifolia",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Statilia maculata",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Sirex",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Scleroracus flavopictus",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Rhagium",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Purpuricenus temminckii",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Pterolophia formosana",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Ponticulothrips diopyrosis",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Pochazia albomaculata",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Plagionotus christophi",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Pissodes",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Phyllobius intrusus",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Monochamus saltuarius",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Trichoferus campestris",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Curtomerus",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Cryphalus fulvus",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Arhopalus",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Arctornis",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Arboridia apicalis",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Aphrophora",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Anaglyptus subfasciatus",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Agelastica coerulea",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Acanthocinus griseus",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Anoplonyx destructor",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Shirahoshizo insidiosus",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Plautia",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Caligula japonica",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Linaeidea",35.68536,139.75309,"Temperate Asia"
"Beauveria bassiana","pathogenOf","Ips cembrae",35.68536,139.75309,"Temperate Asia"
