"source_taxon_name","interaction_type","target_taxon_name","latitude","longitude","Area"
"Enderleinellus","parasiteOf","Tamias striatus",36.5,127.75,"Temperate Asia"
"Enderleinellus","parasiteOf","Tamias sibiricus",36.5,127.75,"Temperate Asia"
"Enderleinellus","parasiteOf","Sciurus",-10,-55,"Tropical South-America"
"Enderleinellus","parasiteOf","Sciurus",4,-73.25,"Tropical South-America"
"Enderleinellus","parasiteOf","Sciurus variegatoides",4,-73.25,"Tropical South-America"
"Enderleinellus","parasiteOf","Microsciurus mimulus",4,-73.25,"Tropical South-America"
"Enderleinellus","parasiteOf","Microsciurus alfari",4,-73.25,"Tropical South-America"
"Enderleinellus","parasiteOf","Xerus erythropus",6.5,-9.5,"Tropical Africa"
"Enderleinellus","parasiteOf","Protoxerus stangeri",6.5,-9.5,"Tropical Africa"
"Enderleinellus","parasiteOf","Protoxerus aubinnii",6.5,-9.5,"Tropical Africa"
"Enderleinellus","parasiteOf","Paraxerus",6.5,-9.5,"Tropical Africa"
"Enderleinellus","parasiteOf","Heliosciurus undulatus",6.5,-9.5,"Tropical Africa"
"Enderleinellus","parasiteOf","Heliosciurus",6.5,-9.5,"Tropical Africa"
"Enderleinellus","parasiteOf","Heliosciurus rufobrachium",6.5,-9.5,"Tropical Africa"
"Enderleinellus","parasiteOf","Heliosciurus gambianus",6.5,-9.5,"Tropical Africa"
"Enderleinellus","parasiteOf","Epixerus ebii",6.5,-9.5,"Tropical Africa"
"Enderleinellus","parasiteOf","Tamiops macclellandi",15.5,101,"Tropical South Asia"
"Enderleinellus","parasiteOf","Menetes berdmorei",15.5,101,"Tropical South Asia"
"Enderleinellus","parasiteOf","Dremomys rufigenis",15.5,101,"Tropical South Asia"
"Enderleinellus","parasiteOf","Dremomys pernyi",15.5,101,"Tropical South Asia"
"Enderleinellus","parasiteOf","Callosciurus prevostii",15.5,101,"Tropical South Asia"
"Enderleinellus","parasiteOf","Callosciurus notatus",15.5,101,"Tropical South Asia"
"Enderleinellus","parasiteOf","Callosciurus nigrovittatus",15.5,101,"Tropical South Asia"
"Enderleinellus","parasiteOf","Callosciurus finlaysonii",15.5,101,"Tropical South Asia"
"Enderleinellus","parasiteOf","Callosciurus erythraeus",15.5,101,"Tropical South Asia"
"Enderleinellus","parasiteOf","Callosciurus caniceps",15.5,101,"Tropical South Asia"
"Enderleinellus","parasiteOf","Lariscus insignis",1,114,"Tropical South Asia"
"Enderleinellus","parasiteOf","Callosciurus prevostii",1,114,"Tropical South Asia"
"Enderleinellus","parasiteOf","Callosciurus notatus",1,114,"Tropical South Asia"
"Enderleinellus","parasiteOf","Callosciurus nigrovittatus",1,114,"Tropical South Asia"
"Enderleinellus","parasiteOf","Callosciurus finlaysonii",1,114,"Tropical South Asia"
"Enderleinellus","parasiteOf","Callosciurus erythraeus",1,114,"Tropical South Asia"
"Enderleinellus","parasiteOf","Callosciurus caniceps",1,114,"Tropical South Asia"
"Enderleinellus","parasiteOf","Callosciurus prevostii",4,102,"Tropical South Asia"
"Enderleinellus","parasiteOf","Callosciurus notatus",4,102,"Tropical South Asia"
"Enderleinellus","parasiteOf","Callosciurus nigrovittatus",4,102,"Tropical South Asia"
"Enderleinellus","parasiteOf","Callosciurus finlaysonii",4,102,"Tropical South Asia"
"Enderleinellus","parasiteOf","Callosciurus erythraeus",4,102,"Tropical South Asia"
"Enderleinellus","parasiteOf","Callosciurus caniceps",4,102,"Tropical South Asia"
