"source_taxon_name","interaction_type","target_taxon_name","latitude","longitude","Area"
"Conogethes","eats","Ficus",35.68536,139.75309,"Temperate Asia"
"Cadra cautella","eats","Ficus",35.68536,139.75309,"Temperate Asia"
"Glyphodes pyloalis","eats","Ficus",35.68536,139.75309,"Temperate Asia"
"Lepidosaphes","eats","Ficus",35.68536,139.75309,"Temperate Asia"
"Dialeurodes","eats","Ficus",35.68536,139.75309,"Temperate Asia"
"Lepidosaphes beckii","eats","Ficus",35.68536,139.75309,"Temperate Asia"
"Chrysomphalus aonidum","eats","Ficus",35.68536,139.75309,"Temperate Asia"
"Platyscapa hsui","parasiteOf","Ficus",35.68536,139.75309,"Temperate Asia"
"Carollia brevicauda","eats","Ficus",-4.916667,-73.75,"Tropical South-America"
"Carollia perspicillata","eats","Ficus",-4.916667,-73.75,"Tropical South-America"
"Phyllostomus hastatus","eats","Ficus",-4.916667,-73.75,"Tropical South-America"
"Carollia castanea","eats","Ficus",-4.916667,-73.75,"Tropical South-America"
"Artibeus jamaicensis","eats","Ficus",-4.916667,-73.75,"Tropical South-America"
"Artibeus lituratus","eats","Ficus",-4.916667,-73.75,"Tropical South-America"
"Artibeus","eats","Ficus",-4.916667,-73.75,"Tropical South-America"
"Uroderma bilobatum","eats","Ficus",-4.916667,-73.75,"Tropical South-America"
"Tetrapus","parasiteOf","Ficus",-10,-55,"Tropical South-America"
"Pegoscapus","parasiteOf","Ficus",-10,-55,"Tropical South-America"
"Pegoscapus","parasiteOf","Ficus",4,-73.25,"Tropical South-America"
"Lepidosaphes beckii","eats","Ficus",-2.5,23.5,"Tropical Africa"
"Ceratosolen acutatus","parasiteOf","Ficus",8,-5.5,"Tropical Africa"
"Agaon","parasiteOf","Ficus",8,-5.5,"Tropical Africa"
"Agaon","parasiteOf","Ficus",6,12.5,"Tropical Africa"
"Agaon obtusum","parasiteOf","Ficus",8,-5.5,"Tropical Africa"
"Agaon taiense","parasiteOf","Ficus",-1,11.75,"Tropical Africa"
"Alfonsiella","parasiteOf","Ficus",6,12.5,"Tropical Africa"
"Allotriozoon nigeriense","parasiteOf","Ficus",0.33654,6.72732,"Tropical Africa"
"Ficus","hasDispersalVector","Pan troglodytes",0.166667,11.583333,"Tropical Africa"
"Ficus","hasDispersalVector","Cercopithecus pogonias",0.166667,11.583333,"Tropical Africa"
"Ficus","hasDispersalVector","Gorilla gorilla",0.166667,11.583333,"Tropical Africa"
"Ficus","hasDispersalVector","Cercopithecus cephus",0.166667,11.583333,"Tropical Africa"
"Ficus","hasDispersalVector","Cercopithecus nictitans",0.166667,11.583333,"Tropical Africa"
"Ficus","hasDispersalVector","Lophocebus albigena",0.166667,11.583333,"Tropical Africa"
"Ficus","hasDispersalVector","Mandrillus sphinx",0.166667,11.583333,"Tropical Africa"
"Dialeurodes","eats","Ficus",13,122,"Tropical South Asia"
"Dialeurodes","eats","Ficus",-5,120,"Tropical South Asia"
"Aonidiella aurantii","eats","Ficus",13,122,"Tropical South Asia"
"Achaea janata","eats","Ficus",15.5,101,"Tropical South Asia"
"Wiebesia","parasiteOf","Ficus",2.5,112.5,"Tropical South Asia"
"Wiebesia","parasiteOf","Ficus",-8,159,"Tropical South Asia"
"Waterstoniella","parasiteOf","Ficus",2.5,112.5,"Tropical South Asia"
"Waterstoniella","parasiteOf","Ficus",-5,120,"Tropical South Asia"
"Waterstoniella","parasiteOf","Ficus",4.5,114.66667,"Tropical South Asia"
"Kradibia","parasiteOf","Ficus",-5,120,"Tropical South Asia"
"Ceratosolen vetustus","parasiteOf","Ficus",2.5,112.5,"Tropical South Asia"
"Ceratosolen","parasiteOf","Ficus",2.5,112.5,"Tropical South Asia"
"Ceratosolen","parasiteOf","Ficus",-8,159,"Tropical South Asia"
"Ceratosolen","parasiteOf","Ficus",-5,120,"Tropical South Asia"
"Ceratosolen","parasiteOf","Ficus",-6,147,"Tropical South Asia"
"Ceratosolen brongersmai","parasiteOf","Ficus",2.5,112.5,"Tropical South Asia"
"Ceratosolen albulus","parasiteOf","Ficus",2.5,112.5,"Tropical South Asia"
"Blastophaga","parasiteOf","Ficus",2.5,112.5,"Tropical South Asia"
"Ceratosolen notus","parasiteOf","Ficus",13,122,"Tropical South Asia"
"Valisia malayana","parasiteOf","Ficus",1.36667,103.8,"Tropical South Asia"
"Eupristina masoni","parasiteOf","Ficus",1.36667,103.8,"Tropical South Asia"
"Ceratosolen vissali","parasiteOf","Ficus",-8,159,"Tropical South Asia"
"Balanophora","parasiteOf","Ficus",15.5,101,"Tropical South Asia"
"Wiebesia boldinghi","parasiteOf","Ficus",-5,120,"Tropical South Asia"
"Waterstoniella brevigena","parasiteOf","Ficus",-5,120,"Tropical South Asia"
"Valisia","parasiteOf","Ficus",-5,120,"Tropical South Asia"
"Valisia compacta","parasiteOf","Ficus",-5,120,"Tropical South Asia"
"Platyscapa","parasiteOf","Ficus",-5,120,"Tropical South Asia"
"Eupristina","parasiteOf","Ficus",-5,120,"Tropical South Asia"
"Dolichoris","parasiteOf","Ficus",-5,120,"Tropical South Asia"
"Dolichoris umbilicata","parasiteOf","Ficus",-5,120,"Tropical South Asia"
"Deilagaon chrysolepidis","parasiteOf","Ficus",-5,120,"Tropical South Asia"
"Ceratosolen medlerianus","parasiteOf","Ficus",-5,120,"Tropical South Asia"
"Ceratosolen crassitarsus","parasiteOf","Ficus",-5,120,"Tropical South Asia"
"Ceratosolen corneri","parasiteOf","Ficus",-5,120,"Tropical South Asia"
"Ceratosolen hooglandi","parasiteOf","Ficus",-5,120,"Tropical South Asia"
"Wiebesia frustrata","parasiteOf","Ficus",-6,147,"Tropical South Asia"
"Wiebesia brusi","parasiteOf","Ficus",-6,147,"Tropical South Asia"
"Kradibia salembensis","parasiteOf","Ficus",-6,147,"Tropical South Asia"
"Kradibia ohuensis","parasiteOf","Ficus",-6,147,"Tropical South Asia"
"Kradibia jacobsi","parasiteOf","Ficus",-6,147,"Tropical South Asia"
"Dolichoris inornata","parasiteOf","Ficus",-6,147,"Tropical South Asia"
"Ceratosolen solitarius","parasiteOf","Ficus",-6,147,"Tropical South Asia"
"Ceratosolen riparianus","parasiteOf","Ficus",-6,147,"Tropical South Asia"
"Ceratosolen kaironkensis","parasiteOf","Ficus",-6,147,"Tropical South Asia"
"Ceratosolen dentifer","parasiteOf","Ficus",-6,147,"Tropical South Asia"
"Valisia auratae","parasiteOf","Ficus",4.5,114.66667,"Tropical South Asia"
"Ficus","hasDispersalVector","Manucodia chalybata",-7.266667,146.7,"Tropical South Asia"
"Ficus","hasDispersalVector","Cicinnurus magnificus",-7.266667,146.7,"Tropical South Asia"
