"source_taxon_name","interaction_type","target_taxon_name","latitude","longitude","Area"
"Fusarium","pathogenOf","Pseudaonidia paeoniae",35.68536,139.75309,"Temperate Asia"
"Fusarium","pathogenOf","Diaspidiotus perniciosus",35.68536,139.75309,"Temperate Asia"
"Fusarium","pathogenOf","Pseudaulacaspis pentagona",35.68536,139.75309,"Temperate Asia"
"Fusarium","pathogenOf","Poa annua",47.50012,-120.50147,"Temperate North-America"
"Fusarium","pathogenOf","Scrobipalpula absoluta",-10,-55,"Tropical South-America"
"Fusarium","pathogenOf","Aeneolamia",4,-73.25,"Tropical South-America"
"Fusarium","pathogenOf","Unaspis citri",4,-73.25,"Tropical South-America"
"Fusarium","pathogenOf","Aspidiotus destructor",8.5,-11.5,"Tropical Africa"
"Fusarium","pathogenOf","Spodoptera",13,122,"Tropical South Asia"
"Fusarium","pathogenOf","Heteropsylla cubana",-6,147,"Tropical South Asia"
