"source_taxon_name","interaction_type","target_taxon_name","latitude","longitude","Area"
"Hirsutella","pathogenOf","Stathmopoda",35.68536,139.75309,"Temperate Asia"
"Hirsutella","pathogenOf","Graptopsaltria nigrofuscata",35.68536,139.75309,"Temperate Asia"
"Hirsutella","pathogenOf","Bambalina",35.68536,139.75309,"Temperate Asia"
"Hirsutella","pathogenOf","Dynaspidiotus tsugae",35.68536,139.75309,"Temperate Asia"
"Hirsutella","pathogenOf","Dioryctria sylvestrella",35.68536,139.75309,"Temperate Asia"
"Hirsutella","pathogenOf","Dioryctria splendidella",35.68536,139.75309,"Temperate Asia"
"Hirsutella","pathogenOf","Homona magnanima",35.68536,139.75309,"Temperate Asia"
"Hirsutella","pathogenOf","Chilo suppressalis",35.68536,139.75309,"Temperate Asia"
"Hirsutella","pathogenOf","Bombyx mori",35.68536,139.75309,"Temperate Asia"
"Hirsutella","pathogenOf","Lymantria",35.68536,139.75309,"Temperate Asia"
"Hirsutella","pathogenOf","Empoasca",-10,-55,"Tropical South-America"
"Hirsutella","pathogenOf","Eriophyes",8,-5.5,"Tropical Africa"
"Hirsutella","pathogenOf","Rastrococcus",8.66667,1.08333,"Tropical Africa"
"Hirsutella","pathogenOf","Idioscopus nitidulus",2.5,112.5,"Tropical South Asia"
"Hirsutella","pathogenOf","Cyrtorhinus lividipennis",13,122,"Tropical South Asia"
"Hirsutella","pathogenOf","Sepedon",13,122,"Tropical South Asia"
"Hirsutella","pathogenOf","Nilaparvata lugens",13,122,"Tropical South Asia"
"Hirsutella","pathogenOf","Idioscopus clypealis",13,122,"Tropical South Asia"
"Hirsutella","pathogenOf","Colomerus",-6,147,"Tropical South Asia"
