"source_taxon_name","interaction_type","target_taxon_name","latitude","longitude","Area"
"Larus","eats","Theragra chalcogramma",36.5301003302,139.057087522,"Temperate Asia"
"Larus","eats","Clupea pallasii",36.5301003302,139.057087522,"Temperate Asia"
"Larus","eats","Scomberesox saurus",36.5301003302,139.057087522,"Temperate Asia"
"Larus","eats","Cololabis saira",36.5301003302,139.057087522,"Temperate Asia"
"Larus","eats","Pseudophycis bachus",36.5301003302,139.057087522,"Temperate Asia"
"Larus","eats","Merluccius",36.5301003302,139.057087522,"Temperate Asia"
"Larus","eats","Macruronus novaezelandiae",36.5301003302,139.057087522,"Temperate Asia"
"Larus","eats","Macruronus magellanicus",36.5301003302,139.057087522,"Temperate Asia"
"Larus","eats","Pleurogrammus monopterygius",36.5301003302,139.057087522,"Temperate Asia"
"Larus","eats","Pleurogrammus azonus",36.5301003302,139.057087522,"Temperate Asia"
"Larus","eats","Pollachius virens",36.5301003302,139.057087522,"Temperate Asia"
"Larus","eats","Micromesistius poutassou",36.5301003302,139.057087522,"Temperate Asia"
"Larus","eats","Micromesistius australis",36.5301003302,139.057087522,"Temperate Asia"
"Larus","eats","Gadus morhua",36.5301003302,139.057087522,"Temperate Asia"
"Larus","eats","Gadus macrocephalus",36.5301003302,139.057087522,"Temperate Asia"
"Larus","eats","Eleginus gracilis",36.5301003302,139.057087522,"Temperate Asia"
"Larus","eats","Boreogadus saida",36.5301003302,139.057087522,"Temperate Asia"
"Larus","eats","Engraulis",36.5301003302,139.057087522,"Temperate Asia"
"Larus","eats","Engraulis mordax",36.5301003302,139.057087522,"Temperate Asia"
"Larus","eats","Engraulis japonicus",36.5301003302,139.057087522,"Temperate Asia"
"Larus","eats","Engraulis encrasicolus",36.5301003302,139.057087522,"Temperate Asia"
"Larus","eats","Engraulis capensis",36.5301003302,139.057087522,"Temperate Asia"
"Larus","eats","Engraulis australis",36.5301003302,139.057087522,"Temperate Asia"
"Larus","eats","Engraulis anchoita",36.5301003302,139.057087522,"Temperate Asia"
"Larus","eats","Sprattus sprattus",36.5301003302,139.057087522,"Temperate Asia"
"Larus","eats","Sardinops sagax",36.5301003302,139.057087522,"Temperate Asia"
"Larus","eats","Sardina pilchardus",36.5301003302,139.057087522,"Temperate Asia"
"Larus","eats","Etrumeus",36.5301003302,139.057087522,"Temperate Asia"
"Larus","eats","Etrumeus teres",36.5301003302,139.057087522,"Temperate Asia"
