"source_taxon_name","interaction_type","target_taxon_name","latitude","longitude","Area"
"NPV","pathogenOf","Xylena fumosa",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Semidonta biloba",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Xestia",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Trichosea champa",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Lemyra",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Sacada approximans",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Spilarctia seriatopunctata",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Phthonosema tendinosaria",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Kunugia undans",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Calliteara argentata",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Theretra japonica",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Phalera flavescens",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Phalera assimilis",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Papilio xuthus",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Oraesia emarginata",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Malacosoma disstria",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Clanis bilineata",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Theretra oldenlandiae",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Pelopidas mathias",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Orgyia thyellina",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Orgyia",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Parasa consocia",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Parasa sinica",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Caligula japonica",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Biston",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Bambalina",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Luehdorfia japonica",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Eumeta japonica",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Ivela auripes",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Erannis defoliaria",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Batocera lineolata",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Diprion",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Carposina",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Anadevidia peponis",35.68536,139.75309,"Temperate Asia"
"NPV","pathogenOf","Ampelophaga rubiginosa",35.68536,139.75309,"Temperate Asia"
