"source_taxon_name","interaction_type","target_taxon_name","latitude","longitude","Area"
"Nectria coccophila","pathogenOf","Pseudaulacapsis celtis",35.68536,139.75309,"Temperate Asia"
"Nectria coccophila","pathogenOf","Parlatoreopsis",35.68536,139.75309,"Temperate Asia"
"Nectria coccophila","pathogenOf","Cynodontaspis edentata",35.68536,139.75309,"Temperate Asia"
"Nectria coccophila","pathogenOf","Diaspidiotus perniciosus",35.68536,139.75309,"Temperate Asia"
"Nectria coccophila","pathogenOf","Comstockaspis paraphyses",35.68536,139.75309,"Temperate Asia"
"Nectria coccophila","pathogenOf","Andaspis tokyoensis",35.68536,139.75309,"Temperate Asia"
"Nectria coccophila","pathogenOf","Pseudaulacapsis cockerelli",35.68536,139.75309,"Temperate Asia"
"Nectria coccophila","pathogenOf","Lindingaspis",35.68536,139.75309,"Temperate Asia"
"Nectria coccophila","pathogenOf","Unaspidiotus corticispini",35.68536,139.75309,"Temperate Asia"
"Nectria coccophila","pathogenOf","Lepidosaphes",35.68536,139.75309,"Temperate Asia"
"Nectria coccophila","pathogenOf","Pseudaulacaspis pentagona",35.68536,139.75309,"Temperate Asia"
"Nectria coccophila","pathogenOf","Pseudaonidia duplex",35.68536,139.75309,"Temperate Asia"
"Nectria coccophila","pathogenOf","Lopholeucaspis japonica",35.68536,139.75309,"Temperate Asia"
"Nectria coccophila","pathogenOf","Aspidites",35.68536,139.75309,"Temperate Asia"
"Nectria coccophila","pathogenOf","Parlatoria theae",35.68536,139.75309,"Temperate Asia"
"Nectria coccophila","pathogenOf","Lepidosaphes pallida",35.68536,139.75309,"Temperate Asia"
"Nectria coccophila","pathogenOf","Unaspis citri",5,-59,"Tropical South-America"
"Nectria coccophila","pathogenOf","Aspidiotus destructor",8.1,-1.2,"Tropical Africa"
"Nectria coccophila","pathogenOf","Lepidosaphes beckii",-2.5,23.5,"Tropical Africa"
"Nectria coccophila","pathogenOf","Pseudaonidia trilobitiformis",1,7,"Tropical Africa"
"Nectria coccophila","pathogenOf","Pseudaulacaspis pentagona",1,7,"Tropical Africa"
"Nectria coccophila","pathogenOf","Mytilaspis",13.9427,121.8463,"Tropical South Asia"
"Nectria coccophila","pathogenOf","Diaspis",13.9427,121.8463,"Tropical South Asia"
"Nectria coccophila","pathogenOf","Aspidiotus",13.9427,121.8463,"Tropical South Asia"
"Nectria coccophila","pathogenOf","Parlatoria ziziphi",13.9427,121.8463,"Tropical South Asia"
