"source_taxon_name","interaction_type","target_taxon_name","latitude","longitude","Area"
"Paecilomyces lilacinus","pathogenOf","Scotinophora lurida",35.68536,139.75309,"Temperate Asia"
"Paecilomyces lilacinus","pathogenOf","Blepharipa",35.68536,139.75309,"Temperate Asia"
"Paecilomyces lilacinus","pathogenOf","Graptopsaltria nigrofuscata",35.68536,139.75309,"Temperate Asia"
"Paecilomyces lilacinus","pathogenOf","Bombyx mori",35.68536,139.75309,"Temperate Asia"
"Paecilomyces lilacinus","pathogenOf","Glyphodes pyloalis",35.68536,139.75309,"Temperate Asia"
"Paecilomyces lilacinus","pathogenOf","Cerotoma",-10,-55,"Tropical South-America"
"Paecilomyces lilacinus","pathogenOf","Deois",-10,-55,"Tropical South-America"
"Paecilomyces lilacinus","pathogenOf","Lagria",-10,-55,"Tropical South-America"
"Paecilomyces lilacinus","pathogenOf","Opsiphanes",4,-73.25,"Tropical South-America"
"Paecilomyces lilacinus","pathogenOf","Aethus",8.1,-1.2,"Tropical Africa"
"Paecilomyces lilacinus","pathogenOf","Scotinophora coarctata",2.5,112.5,"Tropical South Asia"
"Paecilomyces lilacinus","pathogenOf","Scotinophora coarctata",13,122,"Tropical South Asia"
"Paecilomyces lilacinus","pathogenOf","Nilaparvata lugens",13,122,"Tropical South Asia"
