"source_taxon_name","interaction_type","target_taxon_name","latitude","longitude","Area"
"Pleistophora","pathogenOf","Pandemis corylana",35.68536,139.75309,"Temperate Asia"
"Pleistophora","pathogenOf","Spodoptera",35.68536,139.75309,"Temperate Asia"
"Pleistophora","pathogenOf","Phthorimaea operculella",35.68536,139.75309,"Temperate Asia"
"Pleistophora","pathogenOf","Bombyx mori",35.68536,139.75309,"Temperate Asia"
"Pleistophora","pathogenOf","Hyphantria cunea",35.68536,139.75309,"Temperate Asia"
"Pleistophora","pathogenOf","Lymantria dispar",35.68536,139.75309,"Temperate Asia"
"Pleistophora","pathogenOf","Leucoma salicis",35.68536,139.75309,"Temperate Asia"
"Pleistophora","pathogenOf","Pieris rapae",35.68536,139.75309,"Temperate Asia"
"Pleistophora","pathogenOf","Simulium venustum",-10,-55,"Tropical South-America"
"Pleistophora","pathogenOf","Simulium ochraceum",-10,-55,"Tropical South-America"
"Pleistophora","pathogenOf","Aedes aegypti",-10,-55,"Tropical South-America"
"Pleistophora","pathogenOf","Anopheles",-1,15.5,"Tropical Africa"
"Pleistophora","pathogenOf","Culex tritaeniorhynchus",2.5,112.5,"Tropical South Asia"
"Pleistophora","pathogenOf","Culex gelidus",2.5,112.5,"Tropical South Asia"
"Pleistophora","pathogenOf","Culex tritaeniorhynchus",1.36667,103.8,"Tropical South Asia"
"Pleistophora","pathogenOf","Culex gelidus",1.36667,103.8,"Tropical South Asia"
