source_taxon_name,interaction_type,target_taxon_name,latitude,longitude
Sphaerophoria,visitsFlowersOf,Lycopus,35.65,136.083333
Plecoptera,visitsFlowersOf,Symplocos chinensis,35.25432,135.44118
Plecoptera,visitsFlowersOf,Prunus grayana,35.25432,135.44118
Plecoptera,visitsFlowersOf,Anthriscus aemula,35.25432,135.44118
Cheilosia,visitsFlowersOf,Senecio,35.65,136.083333
Cheilosia,visitsFlowersOf,Ranunculus,35.65,136.083333
Cheilosia,visitsFlowersOf,Viola vaginata,35.25432,135.44118
Cheilosia,visitsFlowersOf,Viola kusanoana,35.25432,135.44118
Cheilosia,visitsFlowersOf,Salix gracilistyla,35.25432,135.44118
Cheilosia,visitsFlowersOf,Prunus salicina,35.25432,135.44118
Cheilosia,visitsFlowersOf,Prunus grayana,35.25432,135.44118
Cheilosia,visitsFlowersOf,Petasites japonicus,35.25432,135.44118
Cheilosia,visitsFlowersOf,Polygonum thunbergii,35.25432,135.44118
Cheilosia,visitsFlowersOf,Aster yomena,35.25432,135.44118
Cheilosia,visitsFlowersOf,Hydrangea macrophylla,35.25432,135.44118
Cheilosia,visitsFlowersOf,Corydalis,35.25432,135.44118
Cheilosia,visitsFlowersOf,Astilbe thunbergii,35.25432,135.44118
Cheilosia,visitsFlowersOf,Anthriscus aemula,35.25432,135.44118
Cheilosia,visitsFlowersOf,Anemone flaccida,35.25432,135.44118
Arge,visitsFlowersOf,Cardamine,35.65,136.083333
Arge,visitsFlowersOf,Hydrangea paniculata,35.25432,135.44118
Arge,visitsFlowersOf,Astilbe thunbergii,35.25432,135.44118
Arge,visitsFlowersOf,Angelica pubescens,35.25432,135.44118
Agelastica coerulea,visitsFlowersOf,Hydrangea macrophylla,35.25432,135.44118
Agelastica coerulea,visitsFlowersOf,Cardiandra alternifolia,35.25432,135.44118
Agelastica coerulea,visitsFlowersOf,Astilbe thunbergii,35.25432,135.44118
Colpodes,visitsFlowersOf,Ligustrum obtusifolium,35.25432,135.44118
Pelopidas mathias,visitsFlowersOf,Prenanthes,35.65,136.083333
Pelopidas mathias,visitsFlowersOf,Polygonum thunbergii,35.65,136.083333
Pelopidas mathias,visitsFlowersOf,Oenanthe,35.65,136.083333
Blitopertha orientalis,visitsFlowersOf,Stenactis annua,35.25432,135.44118
Blitopertha orientalis,visitsFlowersOf,Hydrangea paniculata,35.25432,135.44118
Blitopertha orientalis,visitsFlowersOf,Astilbe thunbergii,35.25432,135.44118
Pieris,visitsFlowersOf,Ixeridium dentatum,35.25432,135.44118
Parnara guttata,visitsFlowersOf,Prenanthes,35.65,136.083333
Parnara guttata,visitsFlowersOf,Polygonum thunbergii,35.65,136.083333
Parnara guttata,visitsFlowersOf,Oenanthe,35.65,136.083333
Parnara guttata,visitsFlowersOf,Lythrum salicaria,35.65,136.083333
Parnara guttata,visitsFlowersOf,Mentha verticillata,35.65,136.083333
Parnara guttata,visitsFlowersOf,Lysimachia clethroides,35.25432,135.44118
Parnara guttata,visitsFlowersOf,Hydrangea paniculata,35.25432,135.44118
Apis mellifera,visitsFlowersOf,Bidens frondosa,35.65,136.083333
Apis mellifera,visitsFlowersOf,Polygonum ellipticum,35.65,136.083333
Apis mellifera,visitsFlowersOf,Justicia procumbens,35.65,136.083333
Apis mellifera,visitsFlowersOf,Weigela hortensis,35.25432,135.44118
