source_taxon_name,interaction_type,target_taxon_name,latitude,longitude
Calypte anna,visitsFlowersOf,Kniphofia,40.722959,-122.798996
Neophasia menapia,visitsFlowersOf,Hypochaeris radicata,48.034782,-123.411817
Selasphorus rufus,visitsFlowersOf,Kniphofia uvaria,47.91252,-122.377443
Phyciodes pulchella,visitsFlowersOf,Corethrogyne filaginifolia,40.859733,-124.095125
Phyciodes pulchella,visitsFlowersOf,Prunus,40.859733,-124.095125
Bombus impatiens,visitsFlowersOf,Impatiens glandulifera,49.149117,-122.933872
Papilio rutulus,visitsFlowersOf,Buddleja davidii,47.681581054,-122.2520685205
Lycaena arota,visitsFlowersOf,Eriogonum nudum,41.7094125379,-121.4782097338
Pieris rapae,visitsFlowersOf,Asclepias fascicularis,41.824899,-121.501402
Callophrys gryneus nelsoni,visitsFlowersOf,Packera cana,44.221948,-121.1020591
Solaster endeca,eats,Eupentacta pseudoquinquesemita,58.4166666667,-134.5
Phalaropus fulicarius,eats,Chilopoda,58.4166666667,-134.5
Aethia,eats,Copepoda,58.4166666667,-134.5
Aethia,eats,Euphausiacea,58.4166666667,-134.5
Aethia,eats,Kondakovia longimana,58.4166666667,-134.5
Aethia,eats,Decapods,58.4166666667,-134.5
Aethia,eats,Theragra chalcogramma,58.4166666667,-134.5
Aethia,eats,Teuthida,58.4166666667,-134.5
Aethia,eats,Illex,58.4166666667,-134.5
Aethia,eats,Loligo,58.4166666667,-134.5
Crossaster papposus,eats,Chlamys rubida,58.4166666667,-134.5
Theragra chalcogramma,eats,Barnacle larvae,58.4166666667,-134.5
Theragra chalcogramma,eats,Decapod larvae,58.4166666667,-134.5
Theragra chalcogramma,eats,Bryozoa,58.4166666667,-134.5
Theragra chalcogramma,eats,Pseudocalanus,58.4166666667,-134.5
Theragra chalcogramma,eats,Metridia pacifica,58.4166666667,-134.5
Theragra chalcogramma,eats,Centropages abdominalis,58.4166666667,-134.5
Theragra chalcogramma,eats,Calanus pacificus,58.4166666667,-134.5
Theragra chalcogramma,eats,Calanus marshallae,58.4166666667,-134.5
Theragra chalcogramma,eats,Acartia,58.4166666667,-134.5
Theragra chalcogramma,eats,Hyperia,58.4166666667,-134.5
Theragra chalcogramma,eats,Thysanoessa,58.4166666667,-134.5
Theragra chalcogramma,eats,Appendicularia,58.4166666667,-134.5
Theragra chalcogramma,eats,Chaetognatha,58.4166666667,-134.5
Theragra chalcogramma,eats,Malacostraca,58.4166666667,-134.5
Theragra chalcogramma,eats,Gammaridea,58.4166666667,-134.5
Theragra chalcogramma,eats,Oncorhynchus,58.4166666667,-134.5
Theragra chalcogramma,eats,Oncorhynchus,58.4166666667,-134.5
Theragra chalcogramma,eats,Oncorhynchus gorbuscha,58.4166666667,-134.5
Theragra chalcogramma,eats,Copepoda,58.4166666667,-134.5
