source_taxon_name,interaction_type,target_taxon_name,latitude,longitude
Sphecidae,visitsFlowersOf,Thelesperma megapotamicum,-42.74852,-72.61002
Thysanoptera,visitsFlowersOf,Discaria,-42.74852,-72.61002
Anthidium,visitsFlowersOf,Phacelia heterophylla,-42.74852,-72.61002
Hypodynerus,visitsFlowersOf,Discaria,-42.74852,-72.61002
Hypodynerus,visitsFlowersOf,Rosa eglanteria,-41,-71.5
Megachile,visitsFlowersOf,Eriosyce,-42.74852,-72.61002
Megachile,visitsFlowersOf,Oxalidaceae,-42.74852,-72.61002
Megachile,visitsFlowersOf,Mimulus,-42.74852,-72.61002
Megachile,visitsFlowersOf,Lecanophora heterophylla,-42.74852,-72.61002
Megachile,visitsFlowersOf,Lathyrus,-42.74852,-72.61002
Megachile,visitsFlowersOf,Grindelia chiloensis,-42.74852,-72.61002
Megachile,visitsFlowersOf,Adesmia retrofracta,-42.74852,-72.61002
Megachile,visitsFlowersOf,Alstroemeria aurea,-40,-67
Megachile,visitsFlowersOf,Alstroemeria aurea,-41,-71.5
Calliphoridae,visitsFlowersOf,Discaria,-42.74852,-72.61002
Alloscirtetica,visitsFlowersOf,Grindelia chiloensis,-42.74852,-72.61002
Thyridanthrax,visitsFlowersOf,Discaria,-42.74852,-72.61002
Bombus,visitsFlowersOf,Vicia nigricans,-40,-67
Bombus,visitsFlowersOf,Tristerix corymbosus,-40,-67
Bombus,visitsFlowersOf,Schinus patagonicus,-40,-67
Bombus,visitsFlowersOf,Rosa eglanteria,-40,-67
Bombus,visitsFlowersOf,Mutisia decurrens,-40,-67
Bombus,visitsFlowersOf,Digitalis purpurea,-40,-67
Bombus,visitsFlowersOf,Calceolaria crenatiflora,-40,-67
Bombus,visitsFlowersOf,Berberis,-40,-67
Bombus,visitsFlowersOf,Berberis,-40,-67
Bombus,visitsFlowersOf,Alstroemeria aurea,-40,-67
Bombus,visitsFlowersOf,Vicia nigricans,-41,-71.5
Bombus,visitsFlowersOf,Tristerix corymbosus,-41,-71.5
Bombus,visitsFlowersOf,Schinus patagonicus,-41,-71.5
Bombus,visitsFlowersOf,Rosa eglanteria,-41,-71.5
Bombus,visitsFlowersOf,Mutisia decurrens,-41,-71.5
Bombus,visitsFlowersOf,Calceolaria crenatiflora,-41,-71.5
Bombus,visitsFlowersOf,Berberis,-41,-71.5
Bombus,visitsFlowersOf,Berberis,-41,-71.5
Bombus,visitsFlowersOf,Alstroemeria aurea,-41,-71.5
Bombus,visitsFlowersOf,Digitalis purpurea,-41,-71.5
Diphaglossa gayi,visitsFlowersOf,Alstroemeria aurea,-41,-71.5
Apis mellifera,visitsFlowersOf,Rosa rubiginosa,-42.74852,-72.61002
Apis mellifera,visitsFlowersOf,Grindelia chiloensis,-42.74852,-72.61002
Corynura,visitsFlowersOf,Rosa eglanteria,-40,-67
Corynura,visitsFlowersOf,Digitalis purpurea,-40,-67
Corynura,visitsFlowersOf,Aristotelia chilensis,-40,-67
Corynura,visitsFlowersOf,Alstroemeria aurea,-40,-67
Corynura,visitsFlowersOf,Rosa eglanteria,-41,-71.5
Corynura,visitsFlowersOf,Digitalis purpurea,-41,-71.5
Corynura,visitsFlowersOf,Aristotelia chilensis,-41,-71.5
Corynura,visitsFlowersOf,Alstroemeria aurea,-41,-71.5
Caenohalictus,visitsFlowersOf,Discaria,-42.74852,-72.61002
Caenohalictus,visitsFlowersOf,Baccharis angustifolia,-42.74852,-72.61002
Caenohalictus,visitsFlowersOf,Mutisia decurrens,-40,-67
Caenohalictus,visitsFlowersOf,Berberis,-40,-67
Caenohalictus,visitsFlowersOf,Mutisia decurrens,-41,-71.5
Caenohalictus,visitsFlowersOf,Gavilea odoratissima,-41,-71.5
Caenohalictus,visitsFlowersOf,Berberis,-41,-71.5
Caenohalictus,visitsFlowersOf,Berberis,-41,-71.5
Caenohalictus,visitsFlowersOf,Alstroemeria aurea,-41,-71.5
Eristalis,visitsFlowersOf,Rapistrum rugosum,-42.74852,-72.61002
Allograpta,visitsFlowersOf,Schinus patagonicus,-41,-71.5
Allograpta,visitsFlowersOf,Rosa eglanteria,-41,-71.5
Allograpta,visitsFlowersOf,Ribes magellanicum,-41,-71.5
Allograpta,visitsFlowersOf,Calceolaria crenatiflora,-41,-71.5
Allograpta,visitsFlowersOf,Berberis,-41,-71.5
Allograpta,visitsFlowersOf,Berberis,-41,-71.5
Allograpta,visitsFlowersOf,Alstroemeria aurea,-41,-71.5
Eristalis,visitsFlowersOf,Discaria,-42.74852,-72.61002
Syrphus,visitsFlowersOf,Schinus patagonicus,-40,-67
Syrphus,visitsFlowersOf,Rosa eglanteria,-40,-67
Syrphus,visitsFlowersOf,Berberis,-40,-67
Syrphus,visitsFlowersOf,Alstroemeria aurea,-40,-67
Syrphus,visitsFlowersOf,Alstroemeria aurea,-41,-71.5
Syrphus,visitsFlowersOf,Schinus patagonicus,-41,-71.5
Syrphus,visitsFlowersOf,Rosa eglanteria,-41,-71.5
Syrphus,visitsFlowersOf,Mutisia decurrens,-41,-71.5
Syrphus,visitsFlowersOf,Digitalis purpurea,-41,-71.5
Syrphus,visitsFlowersOf,Berberis,-41,-71.5
Vespula germanica,visitsFlowersOf,Rosa eglanteria,-40,-67
Vespula germanica,visitsFlowersOf,Mutisia decurrens,-40,-67
Vespula germanica,visitsFlowersOf,Digitalis purpurea,-40,-67
Vespula germanica,visitsFlowersOf,Alstroemeria aurea,-40,-67
Vespula germanica,visitsFlowersOf,Schinus patagonicus,-41,-71.5
Vespula germanica,visitsFlowersOf,Rosa eglanteria,-41,-71.5
Vespula germanica,visitsFlowersOf,Mutisia decurrens,-41,-71.5
Vespula germanica,visitsFlowersOf,Digitalis purpurea,-41,-71.5
Vespula germanica,visitsFlowersOf,Alstroemeria aurea,-41,-71.5
Sephanoides,visitsFlowersOf,Tristerix corymbosus,-41,-71.5
Sephanoides,visitsFlowersOf,Mutisia decurrens,-41,-71.5
Sephanoides,visitsFlowersOf,Alstroemeria aurea,-41,-71.5
