source_taxon_name,interaction_type,target_taxon_name,latitude,longitude
Ramphodon naevius,visitsFlowersOf,Vriesea,-10,-55
Ramphodon naevius,visitsFlowersOf,Ananas,-10,-55
Ramphodon naevius,visitsFlowersOf,Aechmea,-10,-55
Ramphodon naevius,visitsFlowersOf,Nidularium procerum,-10,-55
Ramphodon naevius,visitsFlowersOf,Nidularium innocentii,-10,-55
Ramphodon naevius,visitsFlowersOf,Aechmea nudicaulis,-10,-55
Florisuga fusca,visitsFlowersOf,Aechmea nudicaulis,-10,-55
Phaethornis squalidus,visitsFlowersOf,Vriesea,-10,-55
Amazilia fimbriata,visitsFlowersOf,Vriesea,-10,-55
Amazilia versicolor,visitsFlowersOf,Aechmea nudicaulis,-10,-55
Lophornis chalybeus,visitsFlowersOf,Aechmea nudicaulis,-10,-55
Thalurania,visitsFlowersOf,Ananas,-10,-55
Thalurania,visitsFlowersOf,Vriesea,-10,-55
Thalurania,visitsFlowersOf,Aechmea,-10,-55
Thalurania,visitsFlowersOf,Aechmea nudicaulis,-10,-55
Euglossa,visitsFlowersOf,Catasetum barbatum,7.21285,-58.61035
Euglossa,visitsFlowersOf,Catasetum discolor,7.21285,-58.61035
Eulaema,visitsFlowersOf,Cassia,7.21285,-58.61035
Eulaema,visitsFlowersOf,Palicourea,7.21285,-58.61035
Eulaema,visitsFlowersOf,Mandevilla,7.21285,-58.61035
Eulaema,visitsFlowersOf,Catasetum macrocarpum,7.21285,-58.61035
Eulaema,visitsFlowersOf,Catasetum longifolium,7.21285,-58.61035
Eulaema,visitsFlowersOf,Catasetum discolor,7.21285,-58.61035
Eulaema,visitsFlowersOf,Catasetum barbatum,7.21285,-58.61035
Bombus hortulanus,visitsFlowersOf,Rubus,4.789686,-74.120958
Euplusia elegans,visitsFlowersOf,Mandevilla,7.21285,-58.61035
Nezara,eats,Persea americana,-10,-55
Nezara,eats,Macademia tetraphylla,-10,-55
Nezara,eats,Passiflora edulis,-10,-55
Nezara,eats,Citrus,-10,-55
Nezara,eats,Prunus,-10,-55
Nezara,eats,Gossypium,-10,-55
Nezara,eats,Solanum lycopersicum,-10,-55
Nezara,eats,Glycine max,-10,-55
Nezara,eats,Medicago sativa,-10,-55
Nezara,eats,Oryza sativa,-10,-55
Nezara,eats,Lycopersicon,-10,-55
Anoplognathus porosus,eats,Nicotiana tabacum,-10,-55
Mocis latipes,eats,Paspalum notatum,-10,-55
Mocis latipes,eats,Hyparrhenia rufa,-10,-55
Mocis latipes,eats,Digitaria sanguinalis,-10,-55
Mocis latipes,eats,Cenchrus ciliaris,-10,-55
Mocis latipes,eats,Bidens pilosa,-10,-55
Mocis latipes,eats,Andropogon,-10,-55
Mocis latipes,eats,Panicum maximum,-10,-55
Mocis latipes,eats,Medicago sativa,-10,-55
Mocis latipes,eats,Sorghum,-10,-55
Mocis latipes,eats,Oryza sativa,-10,-55
Mocis latipes,eats,Saccharum officinarum,-10,-55
Mocis latipes,eats,Zea mays,-10,-55
Mocis latipes,eats,Glycine max,-10,-55
Empoasca,eats,Vigna unguiculata,-10,-55
Empoasca,eats,Phaseolus,-10,-55
Simulium ochraceum,eats,Homo sapiens,-10,-55
Anticarsia gemmatalis,eats,Pueraria,-10,-55
Anticarsia gemmatalis,eats,Robinia pseudoacacia,-10,-55
Anticarsia gemmatalis,eats,Arachis hypogaea,-10,-55
Anticarsia gemmatalis,eats,Vigna unguiculata,-10,-55
Anticarsia gemmatalis,eats,Glycine max,-10,-55
Anticarsia gemmatalis,eats,Medicago sativa,-10,-55
Rachiplusia,eats,Cosmos,-10,-55
Rachiplusia,eats,Trifolium,-10,-55
Rachiplusia,eats,Zea mays,-10,-55
Dione juno,eats,Passiflora,-10,-55
Aedes aegypti,eats,Fungi,-10,-55
Chlosyne lacinia,eats,Helianthus,-10,-55
Epilachna,eats,Lathyrus,-10,-55
Epilachna,eats,Medicago sativa,-10,-55
Epilachna,eats,Glycine max,-10,-55
Epilachna,eats,Vigna unguiculata,-10,-55
Epilachna,eats,Trifolium,-10,-55
Piezodorus,eats,Lens culinaris,-10,-55
Piezodorus,eats,Indigofera hirsuta,-10,-55
Piezodorus,eats,Crotalaria pallida,-10,-55
Piezodorus,eats,Crotalaria,-10,-55
Piezodorus,eats,Phaseolus,-10,-55
Piezodorus,eats,Medicago sativa,-10,-55
Piezodorus,eats,Glycine max,-10,-55
Danaus erippus,eats,Morenia,-10,-55
Danaus erippus,eats,Asclepias curassavica,-10,-55
Terastia meticulosalis,eats,Erythrina,-10,-55
Terastia meticulosalis,eats,Vanilla,-10,-55
Terastia meticulosalis,eats,Theobroma cacao,-10,-55
Parlatoria ziziphi,eats,Citrus reticulata,-10,-55
Parlatoria ziziphi,eats,Citrus aurantium,-10,-55
Tetranychus evansi,eats,Solanum lycopersicum,-10,-55
Anthonomus grandis,eats,Thespesia populnea,-10,-55
Anthonomus grandis,eats,Alcea,-10,-55
Anthonomus grandis,eats,Gossypium hirsutum,-10,-55
Anthonomus grandis,eats,Abelmoschus esculentus,-10,-55
Anthonomus grandis,eats,Hibiscus syriacus,-10,-55
Heliothis virescens,eats,Pelargonium,-10,-55
Heliothis virescens,eats,Ageratum,-10,-55
Heliothis virescens,eats,Gossypium hirsutum,-10,-55
Heliothis virescens,eats,Prunus,-10,-55
Heliothis virescens,eats,Nicotiana tabacum,-10,-55
Heliothis virescens,eats,Rosa,-10,-55
Heliothis virescens,eats,Glycine max,-10,-55
Agraulis vanillae,eats,Passiflora incarnata,-10,-55
Agraulis vanillae,eats,Passiflora lutea,-10,-55
Agraulis vanillae,eats,Passiflora edulis,-10,-55
Helicoverpa,eats,Gossypium hirsutum,-10,-55
Helicoverpa,eats,Nicotiana tabacum,-10,-55
Helicoverpa,eats,Vicia,-10,-55
Helicoverpa,eats,Sorghum,-10,-55
Helicoverpa,eats,Glycine max,-10,-55
Helicoverpa,eats,Medicago sativa,-10,-55
Helicoverpa,eats,Zea mays,-10,-55
Helicoverpa,eats,Pelargonium,-10,-55
Helicoverpa,eats,Chrysanthemum,-10,-55
Helicoverpa,eats,Gossypium hirsutum,-10,-55
Helicoverpa,eats,Solanum lycopersicum,-10,-55
Helicoverpa,eats,Zea mays,-10,-55
Helicoverpa,eats,Sorghum,-10,-55
Helicoverpa,eats,Nicotiana tabacum,-10,-55
Mechanitis lysimnia,eats,Lycopersicon,-10,-55
Scrobipalpula absoluta,eats,Solanum lycopersicum,-10,-55
Stenoma decora,eats,Theobroma cacao,-10,-55
Euschistus heros,eats,Glycine max,-10,-55
Cosmopolites sordidus,eats,Theobroma cacao,-10,-55
Cosmopolites sordidus,eats,Musa paradisiaca,-10,-55
Coleomegilla maculata,eats,Ostrinia nubilalis,-10,-55
Panstrongylus megistus,eats,Canis lupus familiaris,-10,-55
Panstrongylus megistus,eats,Homo sapiens,-10,-55
Solenopsis invicta,eats,Nezara,-10,-55
Solenopsis invicta,eats,Diaphania,-10,-55
Aphis gossypii,eats,Hibiscus,-10,-55
Aphis gossypii,eats,Punica,-10,-55
Aphis gossypii,eats,Gossypium,-10,-55
Aphis gossypii,eats,Citrus,-10,-55
Myzus persicae,eats,Brassica,-10,-55
Myzus persicae,eats,Lactuca,-10,-55
Myzus persicae,eats,Chrysanthemum,-10,-55
Myzus persicae,eats,Prunus persica,-10,-55
Myzus persicae,eats,Prunus,-10,-55
Oebalus,eats,Oryza sativa,-10,-55
Metamasius hemipterus,eats,Saccharum officinarum,-10,-55
Metamasius hemipterus,eats,Musa paradisiaca,-10,-55
Mahanarva,eats,Saccharum officinarum,-10,-55
Spodoptera frugiperda,eats,Cynodon dactylon,-10,-55
Spodoptera frugiperda,eats,Arachis hypogaea,-10,-55
Spodoptera frugiperda,eats,Cucumis sativus,-10,-55
Spodoptera frugiperda,eats,Spinacia oleracea,-10,-55
Spodoptera frugiperda,eats,Trifolium,-10,-55
Spodoptera frugiperda,eats,Vigna unguiculata,-10,-55
Spodoptera frugiperda,eats,Ipomoea batatas,-10,-55
Spodoptera frugiperda,eats,Nicotiana,-10,-55
Spodoptera frugiperda,eats,Brassica rapa oleifera,-10,-55
Spodoptera frugiperda,eats,Gossypium,-10,-55
Spodoptera frugiperda,eats,Solanum lycopersicum,-10,-55
Spodoptera frugiperda,eats,Brassica,-10,-55
Spodoptera frugiperda,eats,Phaseolus,-10,-55
Spodoptera frugiperda,eats,Sorghum,-10,-55
Spodoptera frugiperda,eats,Solanum tuberosum,-10,-55
Spodoptera frugiperda,eats,Glycine max,-10,-55
Spodoptera frugiperda,eats,Medicago sativa,-10,-55
Spodoptera frugiperda,eats,Zea mays,-10,-55
Spodoptera frugiperda,eats,Cynodon dactylon,4,-73.25
Spodoptera frugiperda,eats,Arachis hypogaea,4,-73.25
Spodoptera frugiperda,eats,Cucumis sativus,4,-73.25
Spodoptera frugiperda,eats,Spinacia oleracea,4,-73.25
Spodoptera frugiperda,eats,Trifolium,4,-73.25
Spodoptera frugiperda,eats,Vigna unguiculata,4,-73.25
Spodoptera frugiperda,eats,Ipomoea batatas,4,-73.25
Spodoptera frugiperda,eats,Nicotiana,4,-73.25
Spodoptera frugiperda,eats,Brassica rapa oleifera,4,-73.25
Spodoptera frugiperda,eats,Gossypium,4,-73.25
Spodoptera frugiperda,eats,Solanum lycopersicum,4,-73.25
Spodoptera frugiperda,eats,Brassica,4,-73.25
Spodoptera frugiperda,eats,Phaseolus,4,-73.25
Spodoptera frugiperda,eats,Sorghum,4,-73.25
Spodoptera frugiperda,eats,Solanum tuberosum,4,-73.25
Spodoptera frugiperda,eats,Glycine max,4,-73.25
Spodoptera frugiperda,eats,Medicago sativa,4,-73.25
Spodoptera frugiperda,eats,Zea mays,4,-73.25
Bombyx mori,eats,Maclura,-10,-55
Bombyx mori,eats,Morus,-10,-55
Sitophilus oryzae,eats,Fagopyrum esculentum,-10,-55
Sitophilus oryzae,eats,Avena,-10,-55
Sitophilus oryzae,eats,Triticum,-10,-55
Sitophilus oryzae,eats,Hordeum vulgare,-10,-55
Sitophilus oryzae,eats,Sorghum,-10,-55
