source_taxon_name,interaction_type,target_taxon_name,latitude,longitude
Vanessa kershawi,visitsFlowersOf,Lantana camara,-26.95635,152.949944
Hypocysta irius,visitsFlowersOf,Bidens pilosa,-26.95635,152.949944
Lampides boeticus,visitsFlowersOf,Fabaceae,-27.092733,153.163147
Lampides boeticus,visitsFlowersOf,Bidens pilosa,-27.092733,153.163147
Manorina melanocephala,eats,Grevillea,-28.792889,153.589125
Trichoglossus chlorolepidotus,eats,Banksia,-28.794008,153.592381
Trichoglossus chlorolepidotus,eats,Grevillea,-28.821045,153.594468
Trichoglossus chlorolepidotus,eats,Grevillea,-27.56431,152.827506
Trichoglossus haematodus,eats,Grevillea,-27.56431,152.827506
Alectura lathami,eats,Musa acuminata,-17.2859340092,145.6351079724
Alectura lathami,eats,Mangifera indica,-26.3887176,153.0923297
Alectura lathami,eats,Malus 脳domestica,-26.838735,152.9610486
Philemon corniculatus,eats,Myrtaceae,-17.3814460186,145.3867802837
Pandion haliaetus,eats,Actinopterygii,-28.359343,153.575027
Boiga irregularis,eats,Miniopterus,-18.227876198,144.5575280617
Cracticus torquatus,eats,Graphium sarpedon,-26.9263797,152.9403788
Oecophylla smaragdina,eats,Wrightia laevis,-16.1166667,145.45
Oecophylla smaragdina,eats,Trichosanthes pentaphylla,-16.1166667,145.45
Oecophylla smaragdina,eats,Toona,-16.1166667,145.45
Oecophylla smaragdina,eats,Syzygium cormiflorum,-16.1166667,145.45
Oecophylla smaragdina,eats,Syzygium erythrocalyx,-16.1166667,145.45
Oecophylla smaragdina,eats,Smilax australis,-16.1166667,145.45
Oecophylla smaragdina,eats,Rockinghamia angustifolia,-16.1166667,145.45
Oecophylla smaragdina,eats,Passiflora,-16.1166667,145.45
Oecophylla smaragdina,eats,Pachygone,-16.1166667,145.45
Oecophylla smaragdina,eats,Normanbya normanbyi,-16.1166667,145.45
Oecophylla smaragdina,eats,Merremia,-16.1166667,145.45
Oecophylla smaragdina,eats,Macaranga involucrata,-16.1166667,145.45
Oecophylla smaragdina,eats,Licuala,-16.1166667,145.45
Oecophylla smaragdina,eats,Jasminum didymum,-16.1166667,145.45
Oecophylla smaragdina,eats,Flagellaria indica,-16.1166667,145.45
Oecophylla smaragdina,eats,Entada,-16.1166667,145.45
Oecophylla smaragdina,eats,Elaeocarpus angustifolius,-16.1166667,145.45
Oecophylla smaragdina,eats,Dysoxylum papuanum,-16.1166667,145.45
Oecophylla smaragdina,eats,Cryptocarya,-16.1166667,145.45
Oecophylla smaragdina,eats,Castanospermum,-16.1166667,145.45
Oecophylla smaragdina,eats,Cardwellia sublimis,-16.1166667,145.45
Oecophylla smaragdina,eats,Archontophoenix,-16.1166667,145.45
Oecophylla smaragdina,eats,Adenia heterophylla,-16.1166667,145.45
Crematogaster,eats,Wrightia laevis,-16.1166667,145.45
Crematogaster,eats,Trichosanthes pentaphylla,-16.1166667,145.45
Crematogaster,eats,Syzygium erythrocalyx,-16.1166667,145.45
Crematogaster,eats,Smilax australis,-16.1166667,145.45
Crematogaster,eats,Rockinghamia angustifolia,-16.1166667,145.45
Crematogaster,eats,Normanbya normanbyi,-16.1166667,145.45
Crematogaster,eats,Merremia,-16.1166667,145.45
Crematogaster,eats,Mallotus mollissimus,-16.1166667,145.45
Crematogaster,eats,Macaranga involucrata,-16.1166667,145.45
Crematogaster,eats,Jasminum didymum,-16.1166667,145.45
Crematogaster,eats,Ipomoea indica,-16.1166667,145.45
Crematogaster,eats,Ichnocarpus frutescens,-16.1166667,145.45
Crematogaster,eats,Homalanthus novoguineensis,-16.1166667,145.45
Crematogaster,eats,Glochidion,-16.1166667,145.45
Crematogaster,eats,Flagellaria indica,-16.1166667,145.45
Crematogaster,eats,Ficus septica,-16.1166667,145.45
Crematogaster,eats,Entada,-16.1166667,145.45
Crematogaster,eats,Endospermum myrmecophilum,-16.1166667,145.45
Crematogaster,eats,Dysoxylum pettigrewianum,-16.1166667,145.45
Crematogaster,eats,Cryptocarya,-16.1166667,145.45
Crematogaster,eats,Clerodendrum tracyanum,-16.1166667,145.45
Crematogaster,eats,Castanospermum,-16.1166667,145.45
Crematogaster,eats,Ardisia pachyrrhachis,-16.1166667,145.45
Crematogaster,eats,Wrightia laevis,-16.1166667,145.45
Crematogaster,eats,Syzygium erythrocalyx,-16.1166667,145.45
Crematogaster,eats,Rockinghamia angustifolia,-16.1166667,145.45
Crematogaster,eats,Passiflora,-16.1166667,145.45
Crematogaster,eats,Mucuna,-16.1166667,145.45
Crematogaster,eats,Merremia,-16.1166667,145.45
Crematogaster,eats,Mallotus paniculatus,-16.1166667,145.45
Crematogaster,eats,Macaranga,-16.1166667,145.45
Crematogaster,eats,Macaranga involucrata,-16.1166667,145.45
Crematogaster,eats,Licuala,-16.1166667,145.45
Crematogaster,eats,Ipomoea indica,-16.1166667,145.45
Crematogaster,eats,Homalanthus novoguineensis,-16.1166667,145.45
Crematogaster,eats,Flagellaria indica,-16.1166667,145.45
Crematogaster,eats,Cryptocarya,-16.1166667,145.45
Crematogaster,eats,Cardwellia sublimis,-16.1166667,145.45
Crematogaster,eats,Ardisia pachyrrhachis,-16.1166667,145.45
Technomyrmex albipes,eats,Urena lobata,-16.1166667,145.45
Technomyrmex albipes,eats,Merremia,-16.1166667,145.45
Technomyrmex albipes,eats,Macaranga involucrata,-16.1166667,145.45
Technomyrmex albipes,eats,Licuala,-16.1166667,145.45
Technomyrmex albipes,eats,Ipomoea indica,-16.1166667,145.45
Technomyrmex albipes,eats,Ichnocarpus frutescens,-16.1166667,145.45
Technomyrmex albipes,eats,Homalanthus novoguineensis,-16.1166667,145.45
Technomyrmex albipes,eats,Flagellaria indica,-16.1166667,145.45
Technomyrmex albipes,eats,Endospermum myrmecophilum,-16.1166667,145.45
Technomyrmex albipes,eats,Cryptocarya,-16.1166667,145.45
Technomyrmex albipes,eats,Clerodendrum tracyanum,-16.1166667,145.45
Technomyrmex albipes,eats,Castanospermum,-16.1166667,145.45
