source_taxon_name,interaction_type,target_taxon_name,latitude,longitude
Tetrigona binghami,visitsFlowersOf,Pipturus,5,117.833333
Tetrigona binghami,visitsFlowersOf,Ardisia elliptica,5,117.833333
Tetrigona binghami,visitsFlowersOf,Hibiscus mutabilis,5,117.833333
Tetrigona binghami,visitsFlowersOf,Peltophorum pterocarpum,5,117.833333
Tetrigona binghami,visitsFlowersOf,Diospyros,5,117.833333
Tetrigona binghami,visitsFlowersOf,Ardisia,5,117.833333
Tetragonula,visitsFlowersOf,Ardisia,5,117.833333
Tetragonula,visitsFlowersOf,Ardisia elliptica,5,117.833333
Tetragonula,visitsFlowersOf,Pipturus,5,117.833333
Tetragonula,visitsFlowersOf,Senna alata,5,117.833333
Tetragonula,visitsFlowersOf,Fagraea cuspidata,5,117.833333
Tetragonula,visitsFlowersOf,Cycas rumphii,5,117.833333
Tetragonula,visitsFlowersOf,Eugenia,5,117.833333
Tetragonula,visitsFlowersOf,Peltophorum pterocarpum,5,117.833333
Tetragonula,visitsFlowersOf,Diospyros,5,117.833333
Tetragonula,visitsFlowersOf,Melastomataceae,5,117.833333
Tetragonula,visitsFlowersOf,Erythrina fusca,5,117.833333
Tetragonula,visitsFlowersOf,Musa,5,117.833333
Tetragonula,visitsFlowersOf,Etlingera elatior,5,117.833333
Tetragonula,visitsFlowersOf,Donax gracilis,5,117.833333
Tetragonula,visitsFlowersOf,Leea,5,117.833333
Tetragonula,visitsFlowersOf,Ardisia,5,117.833333
Tetragonula,visitsFlowersOf,Pipturus,5,117.833333
Tetragonula,visitsFlowersOf,Cassia fistula,5,117.833333
Tetragonula,visitsFlowersOf,Eugenia,5,117.833333
Tetragonula,visitsFlowersOf,Senna alata,5,117.833333
Tetragonula,visitsFlowersOf,Ageratum conyzoides,5,117.833333
Tetragonula,visitsFlowersOf,Fagraea cuspidata,5,117.833333
Tetragonula,visitsFlowersOf,Cycas rumphii,5,117.833333
Tetragonula,visitsFlowersOf,Bridelia insulana,5,117.833333
Tetragonula,visitsFlowersOf,Diospyros,5,117.833333
Tetragonula,visitsFlowersOf,Peltophorum pterocarpum,5,117.833333
Tetragonula,visitsFlowersOf,Melastomataceae,5,117.833333
Tetragonula,visitsFlowersOf,Erythrina fusca,5,117.833333
Tetragonula,visitsFlowersOf,Musa,5,117.833333
Tetragonula,visitsFlowersOf,Etlingera elatior,5,117.833333
Tetragonula fuscobalteata,visitsFlowersOf,Ardisia elliptica,5,117.833333
Tetragonula fuscobalteata,visitsFlowersOf,Eugenia,5,117.833333
Tetragonula fuscobalteata,visitsFlowersOf,Peltophorum pterocarpum,5,117.833333
Tetragonula fuscobalteata,visitsFlowersOf,Hibiscus mutabilis,5,117.833333
Tetragonula fuscobalteata,visitsFlowersOf,Pipturus,5,117.833333
Tetragonilla,visitsFlowersOf,Ardisia,5,117.833333
Tetragonilla,visitsFlowersOf,Dillenia excelsa,5,117.833333
Tetragonilla,visitsFlowersOf,Mallotus,5,117.833333
Tetragonilla,visitsFlowersOf,Senna surattensis,5,117.833333
Tetragonilla,visitsFlowersOf,Ageratum conyzoides,5,117.833333
Tetragonilla,visitsFlowersOf,Senna alata,5,117.833333
Tetragonilla,visitsFlowersOf,Bridelia insulana,5,117.833333
Tetragonilla,visitsFlowersOf,Ardisia,5,117.833333
Tetragonilla,visitsFlowersOf,Peltophorum pterocarpum,5,117.833333
Tetragonilla,visitsFlowersOf,Fagraea cuspidata,5,117.833333
Pariotrigona pendleburyi,visitsFlowersOf,Cycas rumphii,5,117.833333
Pariotrigona pendleburyi,visitsFlowersOf,Bridelia insulana,5,117.833333
Pariotrigona pendleburyi,visitsFlowersOf,Eugenia,5,117.833333
Odontotrigona haematoptera,visitsFlowersOf,Diospyros,5,117.833333
Odontotrigona haematoptera,visitsFlowersOf,Dillenia excelsa,5,117.833333
Odontotrigona haematoptera,visitsFlowersOf,Ardisia elliptica,5,117.833333
Lophotrigona canifrons,visitsFlowersOf,Dillenia excelsa,5,117.833333
Lophotrigona canifrons,visitsFlowersOf,Cassia fistula,5,117.833333
Lepidotrigona terminata,visitsFlowersOf,Ardisia elliptica,5,117.833333
Lepidotrigona terminata,visitsFlowersOf,Cassia fistula,5,117.833333
Lepidotrigona terminata,visitsFlowersOf,Dillenia excelsa,5,117.833333
Lepidotrigona nitidiventris,visitsFlowersOf,Pipturus,5,117.833333
Homotrigona fimbriata,visitsFlowersOf,Ardisia elliptica,5,117.833333
Heterotrigona itama,visitsFlowersOf,Pipturus,5,117.833333
Heterotrigona itama,visitsFlowersOf,Ardisia elliptica,5,117.833333
Heterotrigona itama,visitsFlowersOf,Eugenia,5,117.833333
Heterotrigona itama,visitsFlowersOf,Cassia fistula,5,117.833333
Heterotrigona itama,visitsFlowersOf,Ardisia,5,117.833333
Heterotrigona itama,visitsFlowersOf,Averrhoa carambola,5,117.833333
Heterotrigona itama,visitsFlowersOf,Donax gracilis,5,117.833333
Anopheles,eats,Homo sapiens,13,105
Pseudobulweria becki,eats,Kondakovia longimana,-8.89536043903,159.601067252
Pseudobulweria becki,eats,Teuthida,-8.89536043903,159.601067252
Pseudobulweria becki,eats,Illex,-8.89536043903,159.601067252
Pseudobulweria becki,eats,Loligo,-8.89536043903,159.601067252
Pseudobulweria becki,eats,"Shrimps, prawns",-8.89536043903,159.601067252
Pseudobulweria becki,eats,Brachyura,-8.89536043903,159.601067252
Procelsterna cerulea,eats,"Shrimps, prawns",-8.89536043903,159.601067252
Procelsterna cerulea,eats,Brachyura,-8.89536043903,159.601067252
Procelsterna cerulea,eats,Kondakovia longimana,-8.89536043903,159.601067252
Procelsterna cerulea,eats,Exocoetidae,-8.89536043903,159.601067252
Procelsterna cerulea,eats,Teuthida,-8.89536043903,159.601067252
Procelsterna cerulea,eats,Illex,-8.89536043903,159.601067252
Procelsterna cerulea,eats,Loligo,-8.89536043903,159.601067252
Bulweria bulwerii,eats,"Shrimps, prawns",-8.89536043903,159.601067252
Bulweria bulwerii,eats,Brachyura,-8.89536043903,159.601067252
Bulweria bulwerii,eats,Kondakovia longimana,-8.89536043903,159.601067252
Bulweria bulwerii,eats,Exocoetidae,-8.89536043903,159.601067252
Bulweria bulwerii,eats,Teuthida,-8.89536043903,159.601067252
Bulweria bulwerii,eats,Illex,-8.89536043903,159.601067252
Bulweria bulwerii,eats,Loligo,-8.89536043903,159.601067252
Gygis alba,eats,Kondakovia longimana,-8.89536043903,159.601067252
Gygis alba,eats,Exocoetidae,-8.89536043903,159.601067252
Gygis alba,eats,Teuthida,-8.89536043903,159.601067252
Gygis alba,eats,Illex,-8.89536043903,159.601067252
Gygis alba,eats,Loligo,-8.89536043903,159.601067252
Anous,eats,Cephalopoda,-8.89536043903,159.601067252
Onychoprion,eats,Cephalopoda,-8.89536043903,159.601067252
Onychoprion,eats,"Shrimps, prawns",-8.89536043903,159.601067252
Onychoprion,eats,Brachyura,-8.89536043903,159.601067252
Onychoprion,eats,Kondakovia longimana,-8.89536043903,159.601067252
Onychoprion,eats,Exocoetidae,-8.89536043903,159.601067252
Onychoprion,eats,Teuthida,-8.89536043903,159.601067252
Onychoprion,eats,Illex,-8.89536043903,159.601067252
Onychoprion,eats,Loligo,-8.89536043903,159.601067252
Pterodroma alba,eats,"Shrimps, prawns",-8.89536043903,159.601067252
Pterodroma alba,eats,Brachyura,-8.89536043903,159.601067252
Pterodroma alba,eats,Kondakovia longimana,-8.89536043903,159.601067252
Pterodroma alba,eats,Teuthida,-8.89536043903,159.601067252
Pterodroma alba,eats,Illex,-8.89536043903,159.601067252
Pterodroma alba,eats,Loligo,-8.89536043903,159.601067252
Puffinus,eats,Kondakovia longimana,-8.89536043903,159.601067252
Puffinus,eats,Exocoetidae,-8.89536043903,159.601067252
Puffinus,eats,Trachurus,-8.89536043903,159.601067252
Puffinus,eats,Trachurus symmetricus,-8.89536043903,159.601067252
Puffinus,eats,Trachurus mediterraneus,-8.89536043903,159.601067252
Puffinus,eats,Trachurus,-8.89536043903,159.601067252
Puffinus,eats,Decapterus,-8.89536043903,159.601067252
Puffinus,eats,Teuthida,-8.89536043903,159.601067252
Puffinus,eats,Illex,-8.89536043903,159.601067252
Puffinus,eats,Loligo,-8.89536043903,159.601067252
Puffinus,eats,"Shrimps, prawns",-8.89536043903,159.601067252
Puffinus,eats,Brachyura,-8.89536043903,159.601067252
Puffinus,eats,Clupea pallasii,-8.89536043903,159.601067252
Puffinus,eats,Engraulis,-8.89536043903,159.601067252
Puffinus,eats,Engraulis mordax,-8.89536043903,159.601067252
Puffinus,eats,Engraulis japonicus,-8.89536043903,159.601067252
Puffinus,eats,Engraulis encrasicolus,-8.89536043903,159.601067252
Puffinus,eats,Engraulis capensis,-8.89536043903,159.601067252
Puffinus,eats,Engraulis australis,-8.89536043903,159.601067252
Puffinus,eats,Engraulis anchoita,-8.89536043903,159.601067252
Puffinus,eats,Sprattus sprattus,-8.89536043903,159.601067252
Puffinus,eats,Sardinops sagax,-8.89536043903,159.601067252
Puffinus,eats,Sardina pilchardus,-8.89536043903,159.601067252
Puffinus,eats,Etrumeus,-8.89536043903,159.601067252
Puffinus,eats,Etrumeus teres,-8.89536043903,159.601067252
Puffinus,eats,Clupea harengus,-8.89536043903,159.601067252
Puffinus lherminieri,eats,"Shrimps, prawns",-8.89536043903,159.601067252
Puffinus lherminieri,eats,Brachyura,-8.89536043903,159.601067252
Puffinus lherminieri,eats,Clupea pallasii,-8.89536043903,159.601067252
Puffinus lherminieri,eats,Kondakovia longimana,-8.89536043903,159.601067252
Puffinus lherminieri,eats,Exocoetidae,-8.89536043903,159.601067252
Puffinus lherminieri,eats,Engraulis,-8.89536043903,159.601067252
Puffinus lherminieri,eats,Engraulis mordax,-8.89536043903,159.601067252
Puffinus lherminieri,eats,Engraulis japonicus,-8.89536043903,159.601067252
Puffinus lherminieri,eats,Engraulis encrasicolus,-8.89536043903,159.601067252
Puffinus lherminieri,eats,Engraulis capensis,-8.89536043903,159.601067252
Puffinus lherminieri,eats,Engraulis australis,-8.89536043903,159.601067252
Puffinus lherminieri,eats,Engraulis anchoita,-8.89536043903,159.601067252
Puffinus lherminieri,eats,Sprattus sprattus,-8.89536043903,159.601067252
Puffinus lherminieri,eats,Sardinops sagax,-8.89536043903,159.601067252
Puffinus lherminieri,eats,Sardina pilchardus,-8.89536043903,159.601067252
Puffinus lherminieri,eats,Etrumeus,-8.89536043903,159.601067252
Puffinus lherminieri,eats,Etrumeus teres,-8.89536043903,159.601067252
Puffinus lherminieri,eats,Clupea harengus,-8.89536043903,159.601067252
Puffinus lherminieri,eats,Trachurus,-8.89536043903,159.601067252
Puffinus lherminieri,eats,Trachurus symmetricus,-8.89536043903,159.601067252
Puffinus lherminieri,eats,Trachurus mediterraneus,-8.89536043903,159.601067252
Puffinus lherminieri,eats,Trachurus,-8.89536043903,159.601067252
Puffinus lherminieri,eats,Decapterus,-8.89536043903,159.601067252
Puffinus lherminieri,eats,Teuthida,-8.89536043903,159.601067252
Puffinus lherminieri,eats,Illex,-8.89536043903,159.601067252
Puffinus lherminieri,eats,Loligo,-8.89536043903,159.601067252
Nesofregetta fuliginosa,eats,"Shrimps, prawns",-8.89536043903,159.601067252
Nesofregetta fuliginosa,eats,Brachyura,-8.89536043903,159.601067252
Nesofregetta fuliginosa,eats,Kondakovia longimana,-8.89536043903,159.601067252
Nesofregetta fuliginosa,eats,Engraulis,-8.89536043903,159.601067252
Nesofregetta fuliginosa,eats,Engraulis mordax,-8.89536043903,159.601067252
Nesofregetta fuliginosa,eats,Engraulis japonicus,-8.89536043903,159.601067252
Nesofregetta fuliginosa,eats,Engraulis encrasicolus,-8.89536043903,159.601067252
Nesofregetta fuliginosa,eats,Engraulis capensis,-8.89536043903,159.601067252
Nesofregetta fuliginosa,eats,Engraulis australis,-8.89536043903,159.601067252
Nesofregetta fuliginosa,eats,Engraulis anchoita,-8.89536043903,159.601067252
Nesofregetta fuliginosa,eats,Teuthida,-8.89536043903,159.601067252
Nesofregetta fuliginosa,eats,Illex,-8.89536043903,159.601067252
Nesofregetta fuliginosa,eats,Loligo,-8.89536043903,159.601067252
Monoplex,eats,Tridacna squamosa,-8.89536043903,159.601067252
Monoplex,eats,Tridacna gigas,-8.89536043903,159.601067252
Monoplex,eats,Hippopus hippopus,11.7392525266,122.868123717
Monoplex,eats,Tridacna maxima,11.7392525266,122.868123717
Monoplex,eats,Hippopus hippopus,-8.89536043903,159.601067252
Monoplex,eats,Tridacna squamosa,-8.89536043903,159.601067252
Monoplex,eats,Tridacna maxima,-8.89536043903,159.601067252
Monoplex,eats,Tridacna gigas,-8.89536043903,159.601067252
Gutturnium muricinum,eats,Hippopus hippopus,-8.89536043903,159.601067252
Gutturnium muricinum,eats,Tridacna squamosa,-8.89536043903,159.601067252
Gutturnium muricinum,eats,Tridacna maxima,-8.89536043903,159.601067252
Gutturnium muricinum,eats,Tridacna gigas,7.42603008308,134.519393184
Gutturnium muricinum,eats,Tridacna derasa,7.42603008308,134.519393184
Phalacrocorax,eats,Decapods,-8.89536043903,159.601067252
Monoplex,eats,Tridacna squamosa,-8.89536043903,159.601067252
Monoplex,eats,Tridacna maxima,-8.89536043903,159.601067252
Monoplex,eats,Tridacna gigas,-8.89536043903,159.601067252
Encrasicholina,eats,plsnk. Copepods,-8.89536043903,159.601067252
Encrasicholina,eats,Cephalopoda,-8.89536043903,159.601067252
Encrasicholina,eats,Lucifer,-8.89536043903,159.601067252
Encrasicholina,eats,Polychaeta,-8.89536043903,159.601067252
Encrasicholina,eats,Calanoida,-8.89536043903,159.601067252
Encrasicholina,eats,Ostracoda,-8.89536043903,159.601067252
Encrasicholina,eats,Heteropoda,-8.89536043903,159.601067252
Encrasicholina,eats,Brachyura,-8.89536043903,159.601067252
Encrasicholina,eats,Anomura,-8.89536043903,159.601067252
Encrasicholina,eats,Stolephorus,-8.89536043903,159.601067252
Encrasicholina,eats,Hyperiidae,-8.89536043903,159.601067252
Encrasicholina,eats,Copepoda,-8.89536043903,159.601067252
Encrasicholina,eats,Stomatopoda,-8.89536043903,159.601067252
Encrasicholina,eats,Lucifer,-8.89536043903,159.601067252
Encrasicholina,eats,Polychaeta,-8.89536043903,159.601067252
Encrasicholina,eats,Calanoida,-8.89536043903,159.601067252
Encrasicholina,eats,Pteropoda,-8.89536043903,159.601067252
Encrasicholina,eats,Mysidacea,-8.89536043903,159.601067252
Encrasicholina,eats,Gastropoda,-8.89536043903,159.601067252
Encrasicholina,eats,Spratelloides,-8.89536043903,159.601067252
Encrasicholina,eats,Hyperiidae,-8.89536043903,159.601067252
Balistapus undulatus,eats,Echinothrix diadema,-10.4289939921,105.6677484516
Caranx,eats,benth. invertebrates,-8.89536043903,159.601067252
Caranx,eats,Balistapus undulatus,-8.89536043903,159.601067252
Spratelloides,eats,Calanoida,-8.89536043903,159.601067252
Spratelloides,eats,veliger,-8.89536043903,159.601067252
Spratelloides,eats,Cephalocarida,-8.89536043903,159.601067252
Spratelloides,eats,Caridea,-8.89536043903,159.601067252
Spratelloides,eats,Actinopterygii,-8.89536043903,159.601067252
Spratelloides,eats,Hyperiidae,-8.89536043903,159.601067252
Sphyraena,eats,Herlotsichthys spp.,-8.89536043903,159.601067252
Sphyraena,eats,Encrasicholina devisi,-8.89536043903,159.601067252
Sphyraena,eats,Stolephorus,-8.89536043903,159.601067252
Sphyraena,eats,Decabrachia,-8.89536043903,159.601067252
Sphyraena,eats,Teleostei,-8.89536043903,159.601067252
Sphyraena,eats,Scomberoides,-8.89536043903,159.601067252
Sphyraena,eats,Herklotsichthys,-8.89536043903,159.601067252
Sphyraena,eats,Gazza minuta,-8.89536043903,159.601067252
Sphyraena,eats,Atherinidae,-8.89536043903,159.601067252
Sphyraena,eats,Spratelloides delicatulus,-8.89536043903,159.601067252
Sphyraena,eats,Pseudochromis,-8.89536043903,159.601067252
Sphyraena,eats,Siganus,-8.89536043903,159.601067252
Sphyraena,eats,Spratelloides lewisi,-8.89536043903,159.601067252
Sphyraena,eats,Spratelloides,-8.89536043903,159.601067252
Sphyraena,eats,Cephalopoda,2.36014731333,113.327966315
Sphyraena,eats,Pony fish,2.36014731333,113.327966315
Gazza minuta,eats,Stomatopoda,-8.89536043903,159.601067252
Gazza minuta,eats,Decabrachia,-8.89536043903,159.601067252
Gazza minuta,eats,Sergestidae,-8.89536043903,159.601067252
Gazza minuta,eats,Polychaeta,-8.89536043903,159.601067252
Gazza minuta,eats,Brachyura,-8.89536043903,159.601067252
Gazza minuta,eats,Copepoda,-8.89536043903,159.601067252
Gazza minuta,eats,Mysis,-8.89536043903,159.601067252
Gazza minuta,eats,Isopoda,-8.89536043903,159.601067252
Gazza minuta,eats,Encrasicholina heteroloba,-8.89536043903,159.601067252
Spratelloides,eats,Alpheidae,-8.89536043903,159.601067252
Spratelloides,eats,Calanoida,-8.89536043903,159.601067252
Spratelloides,eats,Cephalocarida,-8.89536043903,159.601067252
Spratelloides,eats,Ostracoda,-8.89536043903,159.601067252
Spratelloides,eats,Gastropoda,-8.89536043903,159.601067252
Spratelloides,eats,Actinopterygii,-8.89536043903,159.601067252
Spratelloides,eats,Teleostei,-8.89536043903,159.601067252
Spratelloides,eats,Hyperiidae,-8.89536043903,159.601067252
Tylosurus crocodilus,eats,Herklotsichthys,-8.89536043903,159.601067252
Tylosurus crocodilus,eats,Teleostei,-8.89536043903,159.601067252
Tylosurus crocodilus,eats,Spratelloides gracilis,-8.89536043903,159.601067252
Spratelloides,eats,Lucifer,-8.89536043903,159.601067252
Spratelloides,eats,Calanoida,-8.89536043903,159.601067252
Spratelloides,eats,Pteropoda,-8.89536043903,159.601067252
Spratelloides,eats,Brachyura,-8.89536043903,159.601067252
Spratelloides,eats,Ostracoda,-8.89536043903,159.601067252
Spratelloides,eats,Gastropoda,-8.89536043903,159.601067252
Spratelloides,eats,Actinopterygii,-8.89536043903,159.601067252
Spratelloides,eats,Anomura,-8.89536043903,159.601067252
Spratelloides,eats,Hyperiidae,-8.89536043903,159.601067252
Euthynnus affinis,eats,Polychaeta,-8.89536043903,159.601067252
Euthynnus affinis,eats,Brachyura,-8.89536043903,159.601067252
Euthynnus affinis,eats,Stomatopoda,-8.89536043903,159.601067252
Euthynnus affinis,eats,Actinopterygii,-8.89536043903,159.601067252
Euthynnus affinis,eats,Encrasicholina heteroloba,-8.89536043903,159.601067252
Euthynnus affinis,eats,Ariomma indicum,-8.89536043903,159.601067252
Euthynnus affinis,eats,Rastrelliger brachysoma,2.36014731333,113.327966315
Euthynnus affinis,eats,Engraulis encrasicolus,2.36014731333,113.327966315
Euthynnus affinis,eats,Halicampus grayi,11.7392525266,122.868123717
Auxis thazard,eats,Stomatopoda,-8.89536043903,159.601067252
Auxis thazard,eats,Decabrachia,-8.89536043903,159.601067252
Auxis thazard,eats,plank. crustaceans,-8.89536043903,159.601067252
Auxis thazard,eats,Mysis,-8.89536043903,159.601067252
Auxis thazard,eats,Spratelloides delicatulus,-8.89536043903,159.601067252
Auxis thazard,eats,Scomberoides,-8.89536043903,159.601067252
Auxis thazard,eats,Monacanthidae,-8.89536043903,159.601067252
Auxis thazard,eats,Clupeidae,-8.89536043903,159.601067252
Auxis thazard,eats,Bivalvia,-8.89536043903,159.601067252
Auxis thazard,eats,Cephalopoda,2.36014731333,113.327966315
Auxis thazard,eats,Engraulis encrasicolus,2.36014731333,113.327966315
Lutjanus,eats,Caridea,-8.89536043903,159.601067252
Lutjanus,eats,Penaeidae,-8.89536043903,159.601067252
Lutjanus,eats,Hymenoptera,-8.89536043903,159.601067252
Lutjanus,eats,Brachyura,-8.89536043903,159.601067252
Lutjanus,eats,Atherinidae,-8.89536043903,159.601067252
Lutjanus,eats,Spratelloides delicatulus,-8.89536043903,159.601067252
Lutjanus,eats,Apogonidae,-8.89536043903,159.601067252
Lutjanus,eats,Teleostei,-8.89536043903,159.601067252
Lutjanus,eats,Blenniidae,-8.89536043903,159.601067252
Lutjanus,eats,Spratelloides,-8.89536043903,159.601067252
Chirocentrus dorab,eats,Thryssa baelama,-8.89536043903,159.601067252
Chirocentrus dorab,eats,Apogonidae,-8.89536043903,159.601067252
Chirocentrus dorab,eats,Teleostei,-8.89536043903,159.601067252
Chirocentrus dorab,eats,Spratelloides delicatulus,-8.89536043903,159.601067252
Scomberoides,eats,Stomatopoda,-8.89536043903,159.601067252
Scomberoides,eats,Decabrachia,-8.89536043903,159.601067252
Scomberoides,eats,benth. crustaceans,-8.89536043903,159.601067252
Scomberoides,eats,Isopoda,-8.89536043903,159.601067252
Scomberoides,eats,Encrasicholina heteroloba,-8.89536043903,159.601067252
Megalaspis cordyla,eats,Stomatopoda,-8.89536043903,159.601067252
Megalaspis cordyla,eats,Decabrachia,-8.89536043903,159.601067252
Megalaspis cordyla,eats,benth. invertebrates,-8.89536043903,159.601067252
Megalaspis cordyla,eats,Isopoda,-8.89536043903,159.601067252
Megalaspis cordyla,eats,Spratelloides delicatulus,-8.89536043903,159.601067252
Megalaspis cordyla,eats,Bivalvia,-8.89536043903,159.601067252
Atule mate,eats,Stomatopoda,-8.89536043903,159.601067252
Atule mate,eats,Isopoda,-8.89536043903,159.601067252
Atule mate,eats,Stolephorus,-8.89536043903,159.601067252
Atule mate,eats,Teleostei,-8.89536043903,159.601067252
Atule mate,eats,Atherinidae,-8.89536043903,159.601067252
Atule mate,eats,Spratelloides delicatulus,-8.89536043903,159.601067252
Atule mate,eats,Herklotsichthys,-8.89536043903,159.601067252
Atule mate,eats,Stolephorus,15.1072916356,101.01784879
Atule mate,eats,Caridea,15.1072916356,101.01784879
Atule mate,eats,Decapoda,15.1072916356,101.01784879
Atule mate,eats,crab megalops,15.1072916356,101.01784879
Atule mate,eats,stomatopod alima,15.1072916356,101.01784879
Atule mate,eats,benth. crustaceans,15.1072916356,101.01784879
