"source_taxon_name","interaction_type","target_taxon_name","latitude","longitude","Area"
"Sphaerophoria","visitsFlowersOf","Lycopus",35.65,136.083333,"Temperate Asia"
"Plecoptera","visitsFlowersOf","Symplocos chinensis",35.25432,135.44118,"Temperate Asia"
"Plecoptera","visitsFlowersOf","Prunus grayana",35.25432,135.44118,"Temperate Asia"
"Plecoptera","visitsFlowersOf","Anthriscus aemula",35.25432,135.44118,"Temperate Asia"
"Cheilosia","visitsFlowersOf","Senecio",35.65,136.083333,"Temperate Asia"
"Cheilosia","visitsFlowersOf","Ranunculus",35.65,136.083333,"Temperate Asia"
"Cheilosia","visitsFlowersOf","Viola vaginata",35.25432,135.44118,"Temperate Asia"
"Cheilosia","visitsFlowersOf","Viola kusanoana",35.25432,135.44118,"Temperate Asia"
"Cheilosia","visitsFlowersOf","Salix gracilistyla",35.25432,135.44118,"Temperate Asia"
"Cheilosia","visitsFlowersOf","Prunus salicina",35.25432,135.44118,"Temperate Asia"
"Cheilosia","visitsFlowersOf","Prunus grayana",35.25432,135.44118,"Temperate Asia"
"Cheilosia","visitsFlowersOf","Petasites japonicus",35.25432,135.44118,"Temperate Asia"
"Cheilosia","visitsFlowersOf","Polygonum thunbergii",35.25432,135.44118,"Temperate Asia"
"Cheilosia","visitsFlowersOf","Aster yomena",35.25432,135.44118,"Temperate Asia"
"Cheilosia","visitsFlowersOf","Hydrangea macrophylla",35.25432,135.44118,"Temperate Asia"
"Cheilosia","visitsFlowersOf","Corydalis repens",35.25432,135.44118,"Temperate Asia"
"Cheilosia","visitsFlowersOf","Astilbe thunbergii",35.25432,135.44118,"Temperate Asia"
"Cheilosia","visitsFlowersOf","Anthriscus aemula",35.25432,135.44118,"Temperate Asia"
"Cheilosia","visitsFlowersOf","Anemone flaccida",35.25432,135.44118,"Temperate Asia"
"Arge","visitsFlowersOf","Cardamine",35.65,136.083333,"Temperate Asia"
"Arge","visitsFlowersOf","Hydrangea paniculata",35.25432,135.44118,"Temperate Asia"
"Arge","visitsFlowersOf","Astilbe thunbergii",35.25432,135.44118,"Temperate Asia"
"Arge","visitsFlowersOf","Angelica pubescens",35.25432,135.44118,"Temperate Asia"
"Agelastica coerulea","visitsFlowersOf","Hydrangea macrophylla",35.25432,135.44118,"Temperate Asia"
"Agelastica coerulea","visitsFlowersOf","Cardiandra alternifolia",35.25432,135.44118,"Temperate Asia"
"Agelastica coerulea","visitsFlowersOf","Astilbe thunbergii",35.25432,135.44118,"Temperate Asia"
"Colpodes","visitsFlowersOf","Ligustrum obtusifolium",35.25432,135.44118,"Temperate Asia"
"Pelopidas mathias","visitsFlowersOf","Prenanthes",35.65,136.083333,"Temperate Asia"
"Pelopidas mathias","visitsFlowersOf","Polygonum thunbergii",35.65,136.083333,"Temperate Asia"
"Pelopidas mathias","visitsFlowersOf","Oenanthe",35.65,136.083333,"Temperate Asia"
"Blitopertha orientalis","visitsFlowersOf","Stenactis annua",35.25432,135.44118,"Temperate Asia"
"Blitopertha orientalis","visitsFlowersOf","Hydrangea paniculata",35.25432,135.44118,"Temperate Asia"
"Blitopertha orientalis","visitsFlowersOf","Astilbe thunbergii",35.25432,135.44118,"Temperate Asia"
"Pieris rapae","visitsFlowersOf","Ixeridium dentatum",35.25432,135.44118,"Temperate Asia"
"Parnara guttata","visitsFlowersOf","Prenanthes",35.65,136.083333,"Temperate Asia"
"Parnara guttata","visitsFlowersOf","Polygonum thunbergii",35.65,136.083333,"Temperate Asia"
"Parnara guttata","visitsFlowersOf","Oenanthe",35.65,136.083333,"Temperate Asia"
"Parnara guttata","visitsFlowersOf","Lythrum salicaria",35.65,136.083333,"Temperate Asia"
"Parnara guttata","visitsFlowersOf","Mentha verticillata",35.65,136.083333,"Temperate Asia"
"Parnara guttata","visitsFlowersOf","Lysimachia clethroides",35.25432,135.44118,"Temperate Asia"
"Parnara guttata","visitsFlowersOf","Hydrangea paniculata",35.25432,135.44118,"Temperate Asia"
"Apis mellifera","visitsFlowersOf","Bidens frondosa",35.65,136.083333,"Temperate Asia"
"Apis mellifera","visitsFlowersOf","Polygonum ellipticum",35.65,136.083333,"Temperate Asia"
"Apis mellifera","visitsFlowersOf","Justicia procumbens",35.65,136.083333,"Temperate Asia"
"Apis mellifera","visitsFlowersOf","Weigela hortensis",35.25432,135.44118,"Temperate Asia"
"Apis mellifera","visitsFlowersOf","Brucea javanica",35.25432,135.44118,"Temperate Asia"
"Apis mellifera","visitsFlowersOf","Rabdosia",35.25432,135.44118,"Temperate Asia"
"Apis mellifera","visitsFlowersOf","Hydrangea macrophylla",35.25432,135.44118,"Temperate Asia"
"Apis mellifera","visitsFlowersOf","Castanea crenata",35.25432,135.44118,"Temperate Asia"
"Popillia japonica","visitsFlowersOf","Lysimachia clethroides",35.25432,135.44118,"Temperate Asia"
"Popillia japonica","visitsFlowersOf","Castanea crenata",35.25432,135.44118,"Temperate Asia"
"Popillia japonica","visitsFlowersOf","Astilbe thunbergii",35.25432,135.44118,"Temperate Asia"
"Melanostoma mellinum","visitsFlowersOf","Leersia japonica",35.65,136.083333,"Temperate Asia"
"Melanostoma mellinum","visitsFlowersOf","Isachne globosa",35.65,136.083333,"Temperate Asia"
"Apis cerana","visitsFlowersOf","Taraxacum",35.65,136.083333,"Temperate Asia"
"Apis cerana","visitsFlowersOf","Aster yomena",35.65,136.083333,"Temperate Asia"
"Apis cerana","visitsFlowersOf","Prunella",35.65,136.083333,"Temperate Asia"
"Apis cerana","visitsFlowersOf","Polygonum thunbergii",35.65,136.083333,"Temperate Asia"
"Apis cerana","visitsFlowersOf","Polygonum sieboldii",35.65,136.083333,"Temperate Asia"
"Apis cerana","visitsFlowersOf","Mosla dianthera",35.65,136.083333,"Temperate Asia"
"Apis cerana","visitsFlowersOf","Weigela hortensis",35.25432,135.44118,"Temperate Asia"
"Apis cerana","visitsFlowersOf","Trifolium repens",35.25432,135.44118,"Temperate Asia"
"Apis cerana","visitsFlowersOf","Brucea javanica",35.25432,135.44118,"Temperate Asia"
"Apis cerana","visitsFlowersOf","Rabdosia",35.25432,135.44118,"Temperate Asia"
"Apis cerana","visitsFlowersOf","Polygonum senticosum",35.25432,135.44118,"Temperate Asia"
"Apis cerana","visitsFlowersOf","Hydrangea paniculata",35.25432,135.44118,"Temperate Asia"
"Apis cerana","visitsFlowersOf","Hydrangea macrophylla",35.25432,135.44118,"Temperate Asia"
"Apis cerana","visitsFlowersOf","Hovenia tomentella",35.25432,135.44118,"Temperate Asia"
"Apis cerana","visitsFlowersOf","Corydalis speciosa",35.25432,135.44118,"Temperate Asia"
"Apis cerana","visitsFlowersOf","Cirsium kagamontanum",35.25432,135.44118,"Temperate Asia"
"Apis cerana","visitsFlowersOf","Castanea crenata",35.25432,135.44118,"Temperate Asia"
"Bombus hypocrita","visitsFlowersOf","Justicia procumbens",35.65,136.083333,"Temperate Asia"
"Trichoptera","visitsFlowersOf","Prunus grayana",35.25432,135.44118,"Temperate Asia"
"Trichoptera","visitsFlowersOf","Hydrangea paniculata",35.25432,135.44118,"Temperate Asia"
"Trichoptera","visitsFlowersOf","Hydrangea hirta",35.25432,135.44118,"Temperate Asia"
"Chironomidae","visitsFlowersOf","Prunus grayana",35.25432,135.44118,"Temperate Asia"
"Chironomidae","visitsFlowersOf","Corydalis speciosa",35.25432,135.44118,"Temperate Asia"
"Ceratina","visitsFlowersOf","Prunella",35.65,136.083333,"Temperate Asia"
"Ceratina","visitsFlowersOf","Senecio",35.65,136.083333,"Temperate Asia"
"Ceratina","visitsFlowersOf","Ixeridium dentatum",35.65,136.083333,"Temperate Asia"
"Ceratina","visitsFlowersOf","Ranunculus",35.65,136.083333,"Temperate Asia"
"Ceratina","visitsFlowersOf","Justicia procumbens",35.65,136.083333,"Temperate Asia"
"Ceratina","visitsFlowersOf","Aeschynomene indica",35.65,136.083333,"Temperate Asia"
"Ceratina","visitsFlowersOf","Weigela hortensis",35.25432,135.44118,"Temperate Asia"
"Ceratina","visitsFlowersOf","Viola verecunda",35.25432,135.44118,"Temperate Asia"
"Ceratina","visitsFlowersOf","Viola vaginata",35.25432,135.44118,"Temperate Asia"
"Ceratina","visitsFlowersOf","Viola kusanoana",35.25432,135.44118,"Temperate Asia"
"Ceratina","visitsFlowersOf","Viola grypoceras",35.25432,135.44118,"Temperate Asia"
"Ceratina","visitsFlowersOf","Stenactis annua",35.25432,135.44118,"Temperate Asia"
"Ceratina","visitsFlowersOf","Rubus palmatus",35.25432,135.44118,"Temperate Asia"
"Ceratina","visitsFlowersOf","Rubus microphyllus",35.25432,135.44118,"Temperate Asia"
"Ceratina","visitsFlowersOf","Rabdosia",35.25432,135.44118,"Temperate Asia"
"Ceratina","visitsFlowersOf","Prunus salicina",35.25432,135.44118,"Temperate Asia"
"Ceratina","visitsFlowersOf","Prunus incisa",35.25432,135.44118,"Temperate Asia"
"Ceratina","visitsFlowersOf","Polygonum thunbergii",35.25432,135.44118,"Temperate Asia"
"Ceratina","visitsFlowersOf","Oxalis griffithii",35.25432,135.44118,"Temperate Asia"
